,palavra,rec,pont
7700,pobrezinha,3,0.033670889615809066
6528,estrondo,3,0.033601677431172566
363,bruxas,14,0.03354820962297215
4168,naufrágio,3,0.03351115660800526
8524,ajudante,3,0.033475746269339135
5431,lafayette,3,0.03347396442090163
74,civilizar-me,4,0.0334681386132587
1492,pegadas,3,0.03340364143524338
2081,chaminé,3,0.03333573244437541
2865,sid,30,0.033119329419393294
4199,escada,24,0.03307943372751263
168,hábito,3,0.03298652311284659
5273,buck,33,0.03285089426173555
5582,coronel,16,0.03271244108868657
5867,sinhô,21,0.03256152840207353
57,juiz,30,0.03248574024085322
8047,moedas,13,0.032352767359706054
10353,pedra,13,0.03197544201812007
490,árvore,18,0.031710545262520956
7834,joana,8,0.03137252843991262
3990,bagagem,8,0.03117169310118282
3261,vaca,10,0.030989720644399036
4440,papai,6,0.03083459346120455
3817,ratos,17,0.03076905709831341
6931,circo,10,0.030322855203085256
8173,cavalheiro,6,0.03019883772679738
987,continue,10,0.030195251477264887
7848,bell,10,0.030107332127789335
1344,estanho,6,0.03006509598988999
5521,grangerford,8,0.029974647023776287
3926,alexandre,6,0.029916074687661626
1336,igreja,21,0.02990531764791489
8458,saírem,4,0.02977934444717722
6275,pregador,8,0.02974555202818573
7463,dezessete,4,0.029724160453896104
3300,emprestado,6,0.02970315111413441
5036,pretende,4,0.029673198540206558
8237,gargalhada,4,0.02965607560862045
3540,bote,6,0.02959596857252348
4193,relâmpago,10,0.029486150297221694
4239,bala,5,0.02948559958409879
950,asneira,4,0.029477433592915853
3992,difícil,5,0.029476571914467214
7120,insultos,6,0.02947490760411223
5308,joga,1,0.029466645125855145
5310,pentear,1,0.029466645125855145
5285,esfolar,1,0.029466645125855145
5289,consolou,1,0.029466645125855145
5290,valentia,1,0.029466645125855145
5286,acordar-me,1,0.029466645125855145
5288,presto,1,0.029466645125855145
5303,passatempo,1,0.029466645125855145
5313,incômodas,1,0.029466645125855145
5311,detesto,1,0.029466645125855145
5294,narrou-me,1,0.029466645125855145
5292,localizado,1,0.029466645125855145
5304,demore,1,0.029466645125855145
5295,pássaro,1,0.029466645125855145
5306,divertir-nos,1,0.029466645125855145
5296,apagou,1,0.029466645125855145
5305,férias,1,0.029466645125855145
5300,adivinhar,1,0.029466645125855145
5466,carta,19,0.029407563229384353
7820,propriedades,4,0.029400901019127273
7207,ferimento,6,0.02937273766449716
1464,esquerdo,6,0.02926782107433144
8355,prestei,1,0.02925234225221256
8349,cheirando,1,0.02925234225221256
8348,satisfez,1,0.02925234225221256
8350,incrédula,1,0.02925234225221256
8358,indelicado,1,0.02925234225221256
8353,jure,1,0.02925234225221256
8360,tratassem,1,0.02925234225221256
8354,dicionário,1,0.02925234225221256
8343,trabalham,1,0.02925234225221256
8347,engendrei,1,0.02925234225221256
8341,julho,1,0.02925234225221256
8357,duvidando,1,0.02925234225221256
8344,mentiu,1,0.02925234225221256
8339,feriados,1,0.02925234225221256
8338,concedem,1,0.02925234225221256
8345,assistia,1,0.02925234225221256
8342,part,1,0.02925234225221256
2293,bebeu,4,0.029246156651866
6946,kean,6,0.029243488410508778
1099,preces,4,0.029177108778003665
2225,vejam,4,0.029176662728790746
8303,fingi,1,0.029146355504921936
8300,regularmente,1,0.029146355504921936
8297,informada,1,0.029146355504921936
8298,soberano,1,0.029146355504921936
8295,freqüentemente,1,0.029146355504921936
8305,aprumar-me,1,0.029146355504921936
8318,tomá,1,0.029146355504921936
8308,freqüenta,1,0.029146355504921936
8317,precisou,1,0.029146355504921936
8309,veraneando,1,0.029146355504921936
8302,moram,1,0.029146355504921936
8312,proferido,1,0.029146355504921936
8313,absurdo,1,0.029146355504921936
8304,engasgado,1,0.029146355504921936
10107,panela,6,0.02912815473788815
7876,inglês,4,0.029117281903452568
6598,franco,4,0.029106264793961348
2649,lua,10,0.029101148052645964
6323,bridgewater,14,0.02907551335783205
2206,lei,4,0.029031300406952305
8462,indaga,4,0.02902810866716156
5033,varíola,4,0.02899516347063348
4669,américa,4,0.028984743816319655
2564,machado,6,0.028961986228407562
5440,filhas,4,0.02895957555180857
10528,despensa,4,0.028918953560251797
416,cozinha,12,0.028913376018961334
3378,cordas,4,0.028885385983841206
1364,palácio,4,0.028880483130822105
7199,foi-se,4,0.028855740322967782
383,relógio,7,0.028837026840153945
7875,sotaque,4,0.028809924098987527
5225,postos,4,0.028797775740941917
1494,cerca,6,0.0287737685269573
2277,queixo,4,0.0287641469049229
7819,testamento,4,0.028756861299263636
4708,sobem,1,0.028729978997708766
4714,suspender,1,0.028729978997708766
4719,impetuosa,1,0.028729978997708766
4718,atei,1,0.028729978997708766
4707,embarcaríamos,1,0.028729978997708766
4716,vogando,1,0.028729978997708766
4717,amarrá-la,1,0.028729978997708766
4711,envolvidos,1,0.028729978997708766
4686,ridícula,1,0.028729978997708766
4689,vice-versa,1,0.028729978997708766
4692,assombra,1,0.028729978997708766
4693,países,1,0.028729978997708766
4699,manter,1,0.028729978997708766
4701,acreditamos,1,0.028729978997708766
4702,levariam,1,0.028729978997708766
4706,venderíamos,1,0.028729978997708766
4695,diversa,1,0.028729978997708766
3689,williams,4,0.028724006111152
8644,denunciar,4,0.028710511894822165
5253,ancião,4,0.028691195585735397
9715,esperá-lo,4,0.02868474063204381
11252,correio,4,0.028662133740150492
1241,caravana,4,0.02862372761152465
3741,desapareceu,4,0.028619951102045987
4173,vigia,4,0.028601786062994804
2826,casos,4,0.028585747619704515
9349,viemos,4,0.028549756288939483
4258,packard,4,0.02851323090420543
310,estrelas,14,0.02849167822940212
5226,shepherdson,16,0.028483362824097264
9800,cocheiro,4,0.028472795074375345
4442,soluços,4,0.028452393867667486
7842,hobson,4,0.028406552904937207
